Date : 2024-05-23 15:59:29
Directory : c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new
Total : 1556 files,  252208 codes, 52786 comments, 47210 blanks, all 352204 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\Tensor\TensorVolumePatch.h                            | C++          |        484 |         60 |         86 |        630 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\Barrier.h                                  | C++          |         39 |         18 |         11 |         68 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\EventCount.h                               | C++          |        161 |         71 |         18 |        250 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\NonBlockingThreadPool.h                    | C++          |        351 |         93 |         43 |        487 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\RunQueue.h                                 | C++          |        150 |         68 |         19 |        237 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\ThreadCancel.h                             | C++          |         10 |          9 |          5 |         24 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\ThreadEnvironment.h                        | C++          |         21 |         11 |          9 |         41 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\ThreadLocal.h                              | C++          |        153 |        102 |         47 |        302 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\ThreadPoolInterface.h                      | C++          |         17 |         21 |         11 |         49 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\ThreadPool\ThreadYield.h                              | C++          |          8 |          9 |          4 |         21 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\util\CXX11Meta.h                                      | C++          |        380 |         54 |        104 |        538 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\util\CXX11Workarounds.h                               | C++          |         33 |         42 |         14 |         89 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\util\EmulateArray.h                                   | C++          |        205 |         23 |         34 |        262 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\CXX11\src\util\MaxSizeVector.h                                  | C++          |        104 |         29 |         26 |        159 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\AutoDiff\AutoDiffJacobian.h                                 | C++          |         78 |         11 |         20 |        109 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\AutoDiff\AutoDiffScalar.h                                   | C++          |        512 |        106 |        113 |        731 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\AutoDiff\AutoDiffVector.h                                   | C++          |        144 |         43 |         34 |        221 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\BVH\BVAlgorithms.h                                          | C++          |        208 |         40 |         46 |        294 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\BVH\KdBVH.h                                                 | C++          |        151 |         38 |         35 |        224 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Eigenvalues\ArpackSelfAdjointEigenSolver.h                  | C++          |        411 |        273 |        107 |        791 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\EulerAngles\EulerAngles.h                                   | C++          |        145 |        174 |         37 |        356 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\EulerAngles\EulerSystem.h                                   | C++          |        168 |         92 |         46 |        306 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\FFT\ei_fftw_impl.h                                          | C++          |        209 |         22 |         31 |        262 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\FFT\ei_kissfft_impl.h                                       | C++          |        373 |         27 |         50 |        450 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\ConstrainedConjGrad.h                      | C++          |        115 |         44 |         29 |        188 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\DGMRES.h                                   | C++          |        320 |        138 |         54 |        512 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\GMRES.h                                    | C++          |        158 |        120 |         58 |        336 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\IDRS.h                                     | C++          |        230 |        140 |         67 |        437 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\IncompleteLU.h                             | C++          |         68 |          8 |         15 |         91 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\IterationController.h                      | C++          |         70 |         61 |         24 |        155 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\MINRES.h                                   | C++          |        142 |         91 |         35 |        268 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\IterativeSolvers\Scaling.h                                  | C++          |        117 |         62 |         15 |        194 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\KroneckerProduct\KroneckerTensorProduct.h                   | C++          |        166 |        101 |         39 |        306 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\LevenbergMarquardt\LMcovar.h                                | C++          |         54 |         18 |         13 |         85 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\LevenbergMarquardt\LMonestep.h                              | C++          |        135 |         40 |         28 |        203 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\LevenbergMarquardt\LMpar.h                                  | C++          |         96 |         37 |         28 |        161 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\LevenbergMarquardt\LMqrsolv.h                               | C++          |        105 |         56 |         28 |        189 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\LevenbergMarquardt\LevenbergMarquardt.h                     | C++          |        250 |         83 |         64 |        397 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions\MatrixExponential.h                         | C++          |        309 |         88 |         45 |        442 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions\MatrixFunction.h                            | C++          |        357 |        146 |         67 |        570 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions\MatrixLogarithm.h                           | C++          |        283 |         52 |         39 |        374 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions\MatrixPower.h                               | C++          |        427 |        193 |         86 |        706 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions\MatrixSquareRoot.h                          | C++          |        223 |        100 |         46 |        369 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MatrixFunctions\StemFunction.h                              | C++          |         89 |         13 |         16 |        118 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\MoreVectorization\MathFunctions.h                           | C++          |         54 |         18 |         24 |         96 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\HybridNonLinearSolver.h               | C++          |        410 |         89 |        103 |        602 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\LevenbergMarquardt.h                  | C++          |        455 |         96 |        107 |        658 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\chkder.h                              | C++          |         55 |          2 |         10 |         67 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\covar.h                               | C++          |         52 |          8 |         11 |         71 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\dogleg.h                              | C++          |         71 |         19 |         18 |        108 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\fdjac1.h                              | C++          |         66 |          4 |         10 |         80 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\lmpar.h                               | C++          |        201 |         50 |         48 |        299 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\qrsolv.h                              | C++          |         50 |         23 |         19 |         92 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\r1mpyq.h                              | C++          |         21 |          3 |          7 |         31 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\r1updt.h                              | C++          |         63 |         20 |         17 |        100 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NonLinearOptimization\rwupdt.h                              | C++          |         32 |          6 |         12 |         50 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\NumericalDiff\NumericalDiff.h                               | C++          |         82 |         32 |         17 |        131 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Polynomials\Companion.h                                     | C++          |        180 |         56 |         45 |        281 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Polynomials\PolynomialSolver.h                              | C++          |        255 |        129 |         45 |        429 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Polynomials\PolynomialUtils.h                               | C++          |         73 |         53 |         18 |        144 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Skyline\SkylineInplaceLU.h                                  | C++          |        210 |         69 |         74 |        353 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Skyline\SkylineMatrix.h                                     | C++          |        635 |         80 |        148 |        863 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Skyline\SkylineMatrixBase.h                                 | C++          |        108 |         63 |         42 |        213 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Skyline\SkylineProduct.h                                    | C++          |        207 |         31 |         58 |        296 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Skyline\SkylineStorage.h                                    | C++          |        199 |         17 |         44 |        260 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Skyline\SkylineUtil.h                                       | C++          |         63 |          8 |         19 |         90 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra\BlockOfDynamicSparseMatrix.h                    | C++          |         79 |         20 |         24 |        123 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra\BlockSparseMatrix.h                             | C++          |        729 |        248 |        103 |      1,080 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra\DynamicSparseMatrix.h                           | C++          |        269 |         76 |         60 |        405 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra\MarketIO.h                                      | C++          |        232 |         12 |         39 |        283 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra\MatrixMarketIterator.h                          | C++          |        165 |         53 |         30 |        248 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SparseExtra\RandomSetter.h                                  | C++          |        208 |        111 |         31 |        350 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\BesselFunctionsArrayAPI.h                  | C++          |        101 |        168 |         18 |        287 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\BesselFunctionsBFloat16.h                  | C++          |         57 |          6 |          6 |         69 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\BesselFunctionsFunctors.h                  | C++          |        235 |        103 |         20 |        358 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\BesselFunctionsHalf.h                      | C++          |         55 |          6 |          6 |         67 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\BesselFunctionsImpl.h                      | C++          |      1,086 |        771 |        103 |      1,960 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\BesselFunctionsPacketMath.h                | C++          |         67 |         32 |         20 |        119 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\HipVectorCompatibility.h                   | C++          |         54 |          0 |         14 |         68 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\SpecialFunctionsArrayAPI.h                 | C++          |         65 |         88 |         15 |        168 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\SpecialFunctionsBFloat16.h                 | C++          |         47 |          6 |          6 |         59 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\SpecialFunctionsFunctors.h                 | C++          |        225 |         84 |         22 |        331 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\SpecialFunctionsHalf.h                     | C++          |         47 |          6 |          6 |         59 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\SpecialFunctionsImpl.h                     | C++          |      1,218 |        601 |        227 |      2,046 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\SpecialFunctionsPacketMath.h               | C++          |         38 |         23 |         19 |         80 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\AVX512\BesselFunctions.h              | C++          |         31 |          0 |         16 |         47 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\AVX512\SpecialFunctions.h             | C++          |         11 |          0 |          6 |         17 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\AVX\BesselFunctions.h                 | C++          |         31 |          0 |         16 |         47 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\AVX\SpecialFunctions.h                | C++          |         11 |          0 |          6 |         17 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\GPU\SpecialFunctions.h                | C++          |        302 |         11 |         57 |        370 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\NEON\BesselFunctions.h                | C++          |         46 |          0 |          9 |         55 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\SpecialFunctions\arch\NEON\SpecialFunctions.h               | C++          |         26 |          0 |          9 |         35 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Splines\Spline.h                                            | C++          |        279 |        152 |         77 |        508 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Splines\SplineFitting.h                                     | C++          |        247 |        123 |         62 |        432 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\Eigen\src\Splines\SplineFwd.h                                         | C++          |         39 |         31 |         24 |         94 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\bench\bench_svd.cpp                                                   | C++          |         80 |         16 |         28 |        124 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\BVH_Example.cpp                                          | C++          |         38 |          2 |         11 |         51 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\EulerAngles.cpp                                          | C++          |         26 |          9 |         12 |         47 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\FFT.cpp                                                  | C++          |         97 |          4 |         18 |        119 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixExponential.cpp                                    | C++          |         13 |          0 |          4 |         17 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixFunction.cpp                                       | C++          |         18 |          0 |          6 |         24 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixLogarithm.cpp                                      | C++          |         13 |          0 |          3 |         16 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixPower.cpp                                          | C++          |         14 |          0 |          3 |         17 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixPower_optimal.cpp                                  | C++          |         14 |          0 |          4 |         18 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixSine.cpp                                           | C++          |         13 |          2 |          6 |         21 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixSinh.cpp                                           | C++          |         13 |          2 |          6 |         21 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\MatrixSquareRoot.cpp                                     | C++          |         13 |          0 |          4 |         17 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\PolynomialSolver1.cpp                                    | C++          |         45 |          0 |          9 |         54 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\PolynomialUtils1.cpp                                     | C++          |         18 |          0 |          3 |         21 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\doc\examples\SYCL\CwiseMul.cpp                                        | C++          |         46 |          7 |         11 |         64 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\BVH.cpp                                                          | C++          |        165 |          8 |         50 |        223 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\EulerAngles.cpp                                                  | C++          |        197 |         48 |         52 |        297 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\FFT.cpp                                                          | C++          |          2 |          0 |          1 |          3 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\FFTW.cpp                                                         | C++          |        168 |         49 |         46 |        263 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\NonLinearOptimization.cpp                                        | C++          |      1,301 |        314 |        235 |      1,850 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\NumericalDiff.cpp                                                | C++          |         82 |         11 |         22 |        115 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\alignedvector3.cpp                                               | C++          |         63 |          8 |         17 |         88 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\autodiff.cpp                                                     | C++          |        281 |         40 |         67 |        388 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\autodiff_scalar.cpp                                              | C++          |         67 |         14 |         21 |        102 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\bessel_functions.cpp                                             | C++          |        295 |         21 |         55 |        371 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_eventcount.cpp                                             | C++          |        111 |         15 |         17 |        143 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_maxsizevector.cpp                                          | C++          |         65 |          1 |         12 |         78 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_meta.cpp                                                   | C++          |        297 |         13 |         48 |        358 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_non_blocking_thread_pool.cpp                               | C++          |        139 |         27 |         15 |        181 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_runqueue.cpp                                               | C++          |        200 |         28 |          8 |        236 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_argmax.cpp                                          | C++          |        220 |         17 |         58 |        295 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_argmax_gpu.cu                                       | CUDA C++     |        180 |         16 |         58 |        254 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_argmax_sycl.cpp                                     | C++          |        194 |         21 |         44 |        259 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_assign.cpp                                          | C++          |        311 |         11 |         49 |        371 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_block_access.cpp                                    | C++          |        484 |         39 |         54 |        577 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_block_eval.cpp                                      | C++          |        613 |         72 |        174 |        859 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_block_io.cpp                                        | C++          |        313 |         45 |         88 |        446 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_broadcast_sycl.cpp                                  | C++          |        106 |         14 |         25 |        145 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_broadcasting.cpp                                    | C++          |        276 |          9 |         47 |        332 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_builtins_sycl.cpp                                   | C++          |        310 |         19 |         26 |        355 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_cast_float16_gpu.cu                                 | CUDA C++     |         52 |          8 |         20 |         80 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_casts.cpp                                           | C++          |        147 |         10 |         30 |        187 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_chipping.cpp                                        | C++          |        377 |          8 |         41 |        426 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_chipping_sycl.cpp                                   | C++          |        500 |         20 |        104 |        624 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_comparisons.cpp                                     | C++          |         62 |          8 |         15 |         85 |
| c:\coding\cpp\finite-element-cuda-new\finite-element-cuda-new\include\eigen-3.4.0\unsupported\test\cxx11_tensor_complex_cwise_ops_gpu.cu                            | CUDA C++     |         78 |          8 |         17 |        103 |
